Ref,Val,Package,PosX,PosY,Rot,Side
"U15","ECP5UM5G_85_CABGA756","CABGA756_27x27mm_p0.8mm",124.000000,-70.000000,0.000000,top
"U16","5P49V6965","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",157.000000,-100.250000,0.000000,top
"U17","TPS2041B","SOT-23-5",64.200000,-80.550000,0.000000,top
"U18","PCA9306","VSSOP-8_2.3x2mm_P0.5mm",58.900000,-81.200000,180.000000,top
"U19","TFP410","HTQFP-64-1EP_10x10mm_P0.5mm_EP8x8mm_Mask4.4x4.4mm_ThermalVias",69.000000,-92.000000,270.000000,top
"U20","TPS2041B","SOT-23-5",81.300000,-63.100000,0.000000,top
"U21","KSZ9031RNXCA","QFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm",87.935000,-108.645000,0.000000,top
"U22","USB3300-EZK","QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm",71.000000,-74.000000,0.000000,top
"U23","AS4C256M16D3","BGA-96_9.0x13.0mm_Layout2x3x16_P0.8mm",165.500000,-65.000000,90.000000,top
"U24","AS4C256M16D3","BGA-96_9.0x13.0mm_Layout2x3x16_P0.8mm",165.500000,-82.500000,90.000000,top
"U25","TPS51200DRC","VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm",185.500000,-90.500000,0.000000,top
"U27","W25Q","SO-8_5.3x6.2mm_P1.27mm",90.000000,-81.000000,0.000000,top
